Date,Description,Amount (Negated),Amount,Category,Amount (Raw),Entered,Reconciled
12/16/2022,elmer Christmas Gift,2000.0,0.0,Expenses:Gifts,-2000.0,True,True
12/16/2022,michelle 3 weeks food allowance,3000.0,0.0,Expenses:Utilities:Drinking Water,-3000.0,True,True
12/16/2022,Rolly 13th month Pay,2500.0,0.0,Expenses:Professional Fees,-2500.0,True,True
12/16/2022,Rolly Christmas Gift,2000.0,0.0,Expenses:Gifts,-2000.0,True,True
12/17/2022,Order night,1128.0,0.0,Expenses:Food:Dining,-1128.0,True,True
12/20/2022,Blue guards,5000.0,0.0,Expenses:Gifts,-5000.0,True,True
12/20/2022,guards has 200 gifts,2400.0,0.0,Expenses:Gifts,-2400.0,True,True
12/20/2022,guards has 250 gifts,1750.0,0.0,Expenses:Gifts,-1750.0,True,True
12/20/2022,guards has 500 gifts,7000.0,0.0,Expenses:Gifts,-7000.0,True,True
12/20/2022,house mentainance,7700.0,0.0,Expenses:Household Supplies,-7700.0,True,True
12/20/2022,"mailman,collectors, riders",3600.0,0.0,Expenses:Professional Fees,-3600.0,True,True
12/20/2022,sanlo office fun drive,2000.0,0.0,Expenses:Gifts,-2000.0,True,True
12/20/2022,tennis people,6000.0,0.0,Expenses:Gifts,-6000.0,True,True
12/31/2022,bidet mancave,450.0,0.0,Expenses:Household Supplies,-450.0,True,True
12/31/2022,screens,3500.0,0.0,Expenses:Household Supplies,-3500.0,True,True
12/31/2022,shadow's food,4580.0,0.0,Expenses:Household Supplies:Pet Expenses,-4580.0,True,True
1/3/2023,nestle fresh milk,99.0,0.0,Expenses:Food:Groceries,-99.0,True,True
1/5/2023,alessi lunch,200.0,0.0,Expenses:Food:Dining,-200.0,True,True
1/5/2023,ensaymada,145.0,0.0,Expenses:Food:Groceries,-145.0,True,True
1/5/2023,phone repair,200.0,0.0,Expenses:Professional Fees,-200.0,True,True
1/6/2023,chicharon,75.0,0.0,Expenses:Food:Groceries,-75.0,True,True
1/6/2023,elmer Over time,250.0,0.0,Expenses:Professional Fees,-250.0,True,True
1/6/2023,sibuyas,60.0,0.0,Expenses:Food:Groceries,-60.0,True,True
1/10/2023,alessi griffin taho,120.0,0.0,Expenses:Food:Dining,-120.0,True,True
1/11/2023,alessi tablet case,850.0,0.0,Expenses:Household Supplies,-850.0,True,True
1/11/2023,ara lazada reimburse,0.0,114.0,Expenses:Household Supplies,114.0,True,True
1/12/2023,lazada shoe box,335.0,0.0,Expenses:Household Supplies,-335.0,True,True
1/13/2023,bangus daing,300.0,0.0,Expenses:Food:Groceries,-300.0,True,True
1/13/2023,bell pepper green,170.0,0.0,Expenses:Food:Groceries,-170.0,True,True
1/13/2023,bell pepper red,180.0,0.0,Expenses:Food:Groceries,-180.0,True,True
1/13/2023,fish 4 lunch,475.0,0.0,Expenses:Food:Groceries,-475.0,True,True
1/14/2023,cloth bag,440.0,0.0,Expenses:Food:Groceries,-440.0,True,True
1/14/2023,Max Shopee,150.0,0.0,Expenses:Gifts,-150.0,True,True
1/18/2023,Rolling Tape,150.0,0.0,Expenses:Household Supplies,-150.0,True,True
