iter	Passed	Remaining
0	58	478398
1	111	456870
2	166	453754
3	215	441135
4	264	433451
5	317	433587
6	367	430111
7	420	430522
8	480	437044
9	532	435593
10	590	439497
11	644	439192
12	694	436997
13	745	435597
14	799	435943
15	850	434721
16	901	433748
17	953	432929
18	1003	431612
19	1055	431142
20	1110	432267
21	1172	435315
22	1233	437962
23	1291	439417
24	1350	441156
25	1411	443473
26	1480	447742
27	1559	454831
28	1625	457672
29	1689	459699
30	1759	463094
31	1811	462048
32	1862	460590
33	1911	458750
34	1960	457015
35	2011	455744
36	2064	454930
37	2120	455084
38	2170	453662
39	2220	452465
40	2269	451208
41	2322	450631
42	2373	449723
43	2427	449498
44	2488	450483
45	2538	449612
46	2588	448598
47	2641	448236
48	2691	447339
49	2742	446604
50	2804	447610
51	2856	447084
52	2905	446227
53	2957	445680
54	3007	444928
55	3056	444123
56	3107	443497
57	3156	442730
58	3208	442338
59	3260	441839
60	3314	441788
61	3375	442662
62	3495	450976
63	3623	460154
