iter	MultiClass
0	2.140162615
1	1.875904424
2	1.787442323
3	1.721308192
4	1.66766073
5	1.624880992
6	1.563137828
7	1.52643548
8	1.497614361
9	1.477234367
10	1.442447584
11	1.416278454
12	1.378958737
13	1.348269139
14	1.334308203
15	1.315284963
16	1.302565524
17	1.286098325
18	1.273321989
19	1.258090762
20	1.249653748
21	1.238451368
22	1.229723544
23	1.21902455
24	1.210111847
25	1.181809683
26	1.169251794
27	1.160330212
28	1.147205892
29	1.137545282
30	1.130420282
31	1.118826085
32	1.111456632
33	1.101321728
34	1.086476621
35	1.079903156
36	1.064818531
37	1.061223437
38	1.057150391
39	1.050776089
40	1.045652228
41	1.04108183
42	1.034340657
43	1.02829151
44	1.021735718
45	1.012081756
46	1.00729496
47	1.004043182
48	0.9994500504
49	0.9960332597
50	0.9933707762
51	0.9828161546
52	0.9779600063
53	0.9690268307
54	0.9646485707
55	0.9589687022
56	0.9552849459
57	0.950586779
58	0.9459494796
59	0.9401787815
60	0.9358149601
61	0.9319987633
62	0.9275844917
63	0.923382007
