Date,Description,Amount (Negated),Amount,Classification
2025-09-15,"Grab* A-8BULS6KWWRRFAV, HA NOI, VN (VND 320,320.00)",716.93,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-15,"PlayStation Network, Sony PSN, JP (SGD 49.90)",2309.37,0.0,Expenses:Entertainment:Recreation
2025-09-15,"LUU NIEM SACH NGHE THUAT, QUANG NAM, VN (VND 1,670,000.00)",3737.76,0.0,Expenses:Gifts
2025-09-15,"fp*Food Panda, https://wwwde, PH",714.0,0.0,Expenses:Food:Dining
2025-09-15,"LAZADA PH, MAKATI, PH",5183.92,0.0,Expenses:Household Supplies
2025-09-15,"LAZADA PH, MAKATI, PH",4452.58,0.0,Expenses:Household Supplies
2025-09-13,"LAZADA PH, MAKATI, PH",2423.83,0.0,Expenses:Household Supplies
2025-09-13,"Grab* A-8BRUL62WWFPFAV, HA NOI, VN (VND 53,040.00)",118.66,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-12,"Grab* A-8BNSU8SWW2OTAV, HA NOI, VN (VND 53,040.00)",118.52,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-12,"AIRALO, SINGAPORE, SG (USD 7.00)",414.09,0.0,Expenses:Travel:Internet
2025-09-11,"TRINH CAPHE - PHAM HONG T, HAI CHAU DIST, VN (VND 287,000.00)",641.31,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-11,Disputed Item - TIKTOK SHOP ONLINE,0.0,4275.0,Expenses:Miscellaneous:Unaccounted
2025-09-10,"LAZADA PH, MAKATI, PH",3591.45,0.0,Expenses:Household Supplies
2025-09-10,"LAZADA PH, MAKATI, PH",6000.98,0.0,Expenses:Household Supplies
2025-09-10,"Grab* A-8BF7QP7WX92FAV, HA NOI, VN (VND 57,200.00)",126.9,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-09,"THEFURAMARESORT-CAFEINDOC, DANANG, VN (VND 147,840.00)",331.11,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-09,"TAXI XANH SM QNM, QUANG NAM, VN (VND 88,400.00)",197.98,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-09,"BLACKBIRD, MAKATI, PH",3228.21,0.0,Expenses:Food:Dining
2025-09-09,"Grab* A-8BABGOQWWJOJAV, HA NOI, VN (VND 84,240.00)",188.66,0.0,Assets:Current Assets:Cash Local:RISE
2025-09-09,"Grab* A-8BBBHJMWXEGVAV, HA NOI, VN (VND 63,440.00)",142.09,0.0,Assets:Current Assets:Cash Local:RISE
2025-08-08,Interest Reversal,0.0,59.85,Expenses:Banking Costs:Interest
