Date,Description,Amount (Negated),Amount,Classification
2025-08-08,Merchant Installment Interest Charges,0.92,0.0,Expenses:Banking Costs:Interest
2025-08-08,Interest Charges,4149.52,0.0,Expenses:Banking Costs:Interest
2025-08-07,"AUST HLTH MGMT GRP P/L, WOLLONGONG, AU (AUD 13.50)",521.09,0.0,Expenses:Travel:Others
2025-08-07,"Spotify P394E231CB, Stockholm, SE",279.0,0.0,Expenses:Entertainment:Music/Movies
2025-08-06,"PAYPAL *PLAYSTATION, 4029357733, US",1507.21,0.0,Expenses:Entertainment:Recreation
2025-08-06,"LAZADA PH, MAKATI, PH",3836.0,0.0,Expenses:Household Supplies
2025-08-05,"NAT SCIENCE & TECH CTR, PARKES, AU (AUD 125.00)",4885.66,0.0,Expenses:Childcare:Extracurricular Activities
2025-08-05,"ASICS Brisbane Airport, Brisb_Airport, AU (AUD 15.00)",582.53,0.0,Expenses:Gifts
2025-08-05,"LOTTE TR BRISBANE AI, EAGLE FARM, AU (AUD 55.70)",2163.1,0.0,Expenses:Gifts
2025-08-05,"TAXIPAY AUSTRALIA, MASCOT, AU (AUD 34.18)",1327.38,0.0,Expenses:Travel:Others
2025-08-05,"ASICS Brisbane Airport, Brisb_Airport, AU (AUD 15.00)",582.53,0.0,Expenses:Gifts
2025-08-05,"LS Sings Asian Kitche, Coorparoo, AU (AUD 112.00)",4349.5,0.0,Expenses:Food:Dining
2025-08-05,"UBER *TRIP HELP.UBER.COM, Sydney, AU (AUD 12.27)",476.51,0.0,Expenses:Travel:Taxi/Car Rental
2025-08-05,"UBER *TRIP HELP.UBER.COM, Sydney, AU (AUD 19.85)",770.87,0.0,Expenses:Travel:Taxi/Car Rental
2025-08-05,"HOTEL KINGSTON, GRIFFITH, AU (AUD 44.99)",1747.18,0.0,Expenses:Travel:Others
2025-08-05,"AMAYRA TRADING PTY L, KINGSTON, AU (AUD 6.05)",234.95,0.0,Expenses:Clothes
2025-08-05,"ZLR*BICORRE, Eagle Farm, AU (AUD 31.60)",1227.19,0.0,Expenses:Clothes
2025-08-04,BPI BILLS PAYMENT -EONLINE & EMOBILE,0.0,347092.28,Assets:Current Assets:Banks Local:BPI Savings (GB)
2025-08-04,Online Bills Payment to MERALCO (10-DIGIT ACCOUNT NUMBER),34572.55,0.0,Expenses:Utilities:Electric
2025-08-04,Online Bills Payment to PLDT,2699.0,0.0,Expenses:Travel:Internet
2025-08-04,Online Bills Payment to PLDT,691.75,0.0,Expenses:Travel:Internet
2025-08-04,"SWADILO PTY LTD, FRANKLIN, AU (AUD 106.50)",4162.58,0.0,Expenses:Clothes
2025-08-04,"UBER *TRIP HELP.UBER.COM, Sydney, AU (AUD 14.32)",559.7,0.0,Expenses:Travel:Taxi/Car Rental
2025-08-04,"UBER *TRIP HELP.UBER.COM, Sydney, AU (AUD 11.34)",443.22,0.0,Expenses:Travel:Taxi/Car Rental
2025-08-04,"UBER *TRIP HELP.UBER.COM, Sydney, AU (AUD 9.44)",368.96,0.0,Expenses:Travel:Taxi/Car Rental
2025-08-04,"SQ *SENI'S ETHIOPIAN CUIS, Yarralumla, AU (AUD 18.00)",699.03,0.0,Expenses:Food:Dining
2025-08-04,"DAN MURPHY'S/1 AIRPORT DR, HAMILTON, AU (AUD 39.99)",1553.01,0.0,Expenses:Food:Alcohol
2025-08-04,Online Bills Payment to PLDT,691.75,0.0,Expenses:Travel:Internet
2025-08-04,"UBER *TRIP, SYDNEY, AU (AUD 24.33)",944.85,0.0,Expenses:Travel:Taxi/Car Rental
2025-08-04,"Jetstar Airways, Barangaroo, AU (AUD 2.00)",77.68,0.0,Expenses:Travel:Fare
2025-08-04,"East Hotel - Agostinis, Griffith, AU (AUD 63.02)",2447.37,0.0,Expenses:Food:Dining
2025-08-04,"UBER *TRIP HELP.UBER.COM, Sydney, AU (AUD 9.44)",366.6,0.0,Expenses:Travel:Taxi/Car Rental
2025-08-04,"LS Australia Pty Ltd, Brisbane, AU (AUD 46.50)",1805.82,0.0,Expenses:Clothes
2025-08-04,"UBER *TRIP HELP.UBER.COM, Sydney, AU (AUD 9.44)",366.6,0.0,Expenses:Travel:Taxi/Car Rental
2025-08-04,"HOTEL KURRAJONG CANBERRA, BARTON, AU (AUD 31.37)",1226.1,0.0,Expenses:Food:Dining
2025-08-04,"HOTEL KURRAJONG CANBERRA, BARTON, AU (AUD 16.19)",632.79,0.0,Expenses:Food:Dining
2025-08-04,"HOTEL KURRAJONG CANBERRA, BARTON, AU (AUD 18.22)",712.13,0.0,Expenses:Travel:Others
2025-08-04,"HOTEL KURRAJONG CANBERRA, BARTON, AU (AUD 18.22)",712.13,0.0,Expenses:Travel:Others
2025-08-04,"HOTEL KURRAJONG CANBERRA, BARTON, AU (AUD 30.36)",1186.62,0.0,Expenses:Travel:Hotel
2025-08-04,"EYEWEAR PERFECTION DISCRE, GREENSLOPES, AU (AUD 110.75)",4300.96,0.0,Expenses:Travel:Fare
